epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,1121.99,0.87126,0.26054,0.00189,0.95807,0.98925,0.9554,0.81645,0.65563,0.22642,0.00149,0.0004655,0.0004655,0.0004655
64,1137.33,0.83632,0.24516,0.00191,0.95716,0.98925,0.95395,0.81364,0.65483,0.23525,0.0015,0.00044075,0.00044075,0.00044075
65,1154.66,0.84455,0.2499,0.00182,0.95629,0.9914,0.95574,0.80937,0.65897,0.23279,0.00155,0.000416,0.000416,0.000416
66,1170.36,0.86512,0.25344,0.00181,0.95726,0.9914,0.95462,0.79926,0.67832,0.22603,0.00152,0.00039125,0.00039125,0.00039125
67,1185.72,0.8306,0.24397,0.00182,0.95838,0.9914,0.95384,0.80136,0.67227,0.22469,0.00151,0.0003665,0.0003665,0.0003665
68,1203.84,0.84918,0.24852,0.00173,0.95833,0.9914,0.95384,0.81336,0.63049,0.21789,0.00144,0.00034175,0.00034175,0.00034175
69,1221.58,0.83848,0.24617,0.00179,0.95811,0.98925,0.95372,0.80751,0.66289,0.22241,0.0015,0.000317,0.000317,0.000317
70,1236.96,0.84602,0.25094,0.00179,0.95701,0.98925,0.95899,0.82522,0.62139,0.22097,0.00143,0.00029225,0.00029225,0.00029225
71,1252.45,0.83954,0.24897,0.00175,0.95741,0.9911,0.95497,0.80945,0.65623,0.2204,0.0015,0.0002675,0.0002675,0.0002675
72,1270.79,0.82284,0.24306,0.00183,0.95612,0.99355,0.96056,0.8323,0.60227,0.21147,0.00139,0.00024275,0.00024275,0.00024275
73,1291.62,0.82211,0.24218,0.00177,0.9532,0.99355,0.95616,0.80958,0.67016,0.23623,0.00152,0.000218,0.000218,0.000218
74,1306.72,0.84307,0.25239,0.0017,0.95647,0.99221,0.95645,0.82375,0.61326,0.22169,0.00144,0.00019325,0.00019325,0.00019325
75,1321.83,0.82991,0.2464,0.00172,0.95255,0.99297,0.95843,0.83127,0.60689,0.21963,0.00143,0.0001685,0.0001685,0.0001685
76,1337.06,0.81294,0.24132,0.0017,0.95543,0.99125,0.95644,0.8248,0.61483,0.22186,0.00145,0.00014375,0.00014375,0.00014375
77,1352.24,0.80378,0.24043,0.00171,0.95553,0.99337,0.95953,0.83147,0.60956,0.21982,0.00145,0.000119,0.000119,0.000119
78,1371.97,0.78758,0.23122,0.00169,0.9543,0.9914,0.95815,0.82451,0.62724,0.22435,0.00148,9.425e-05,9.425e-05,9.425e-05
79,1392.47,0.79231,0.23773,0.00169,0.95386,0.99355,0.9549,0.82276,0.62162,0.22476,0.00144,6.95e-05,6.95e-05,6.95e-05
80,1408.19,0.79427,0.23522,0.00167,0.9545,0.9924,0.95399,0.82353,0.61659,0.22487,0.00143,4.475e-05,4.475e-05,4.475e-05
